age,workclass,marital-status,relationship,sex,income>50K,hours-per-week,occupation,education-num,race,native-country,capital-gain,capital-loss,fnlwgt
27,3,3,3,1,0,55,8,12,4,0,0,0,5
83,8,4,3,0,0,34,14,8,0,0,0,0,18
4,0,2,4,1,0,39,7,8,4,0,0,0,9
8,0,0,2,1,0,39,7,4,0,0,0,0,2
42,0,0,2,1,1,39,4,9,0,0,5,0,11
29,0,0,2,1,0,39,12,8,0,0,1,0,12
12,0,2,1,1,0,39,7,8,0,0,0,0,24
8,0,0,2,1,0,59,10,8,0,12,0,0,10
31,0,0,2,1,1,39,1,8,0,20,0,0,15
18,0,2,1,1,0,19,7,9,0,0,0,0,17
14,1,0,2,1,1,59,1,8,0,0,25,0,11
11,0,2,1,1,0,24,9,8,0,0,0,0,14
27,0,0,2,1,0,49,7,8,0,0,0,0,16
8,0,1,3,0,0,39,8,9,3,29,0,0,9
30,1,0,2,1,0,98,9,8,0,0,0,0,10
9,0,0,2,1,1,49,5,12,0,0,0,0,21
4,0,2,1,1,0,39,7,8,0,0,0,0,4
36,0,0,2,1,1,39,5,15,0,0,0,0,13
24,0,0,2,1,0,64,4,8,0,0,0,0,15
34,0,0,0,0,1,37,5,13,0,0,0,0,33
49,1,0,2,1,0,11,2,9,0,0,0,0,5
33,0,2,4,1,0,39,1,8,0,0,0,0,18
25,0,0,2,1,1,39,1,8,0,0,0,0,13
27,0,0,2,1,1,49,5,12,1,12,0,38,12
30,2,0,2,1,1,39,4,9,0,0,0,0,8
55,2,0,2,1,0,9,11,9,4,0,5,0,17
36,4,0,2,1,1,49,12,7,0,0,0,0,1
2,0,2,1,0,0,39,3,12,0,0,0,0,19
34,0,0,2,1,1,39,8,9,0,20,7,0,7
28,5,1,3,0,0,39,8,6,4,0,0,0,17
8,0,2,1,0,0,39,8,8,4,0,0,0,12
34,3,4,5,0,0,34,5,12,0,0,0,0,5
1,1,2,1,0,0,29,3,9,0,0,0,0,4
26,0,0,1,0,0,39,0,8,4,0,0,0,17
25,0,0,3,1,1,41,4,8,0,0,0,38,6
39,0,1,3,0,0,4,3,8,0,0,0,0,7
21,2,0,2,1,0,39,1,8,0,0,0,0,12
5,0,2,1,0,0,35,8,10,0,0,0,0,2
9,1,0,2,1,0,59,3,10,0,0,0,0,14
1,0,2,1,1,0,39,6,9,0,0,0,0,6
31,0,2,5,0,0,39,3,8,0,0,0,0,1
16,1,5,5,0,0,49,1,12,0,0,0,0,26
11,0,2,3,1,0,34,2,12,2,0,0,0,12
66,0,0,2,1,1,39,7,9,0,0,0,0,12
26,0,5,5,0,0,39,2,9,0,0,0,0,7
16,8,4,3,0,0,24,14,7,0,0,0,0,12
44,5,0,2,1,0,24,4,9,0,0,0,0,8
36,0,0,2,1,1,49,3,12,0,0,0,0,11
8,0,2,3,1,0,39,0,9,0,0,0,0,12
7,8,4,3,0,0,34,14,11,0,0,0,0,7
35,5,0,2,1,0,39,12,10,0,0,0,0,6
8,0,2,3,1,0,39,10,12,4,0,0,0,24
46,0,0,2,1,1,39,3,12,0,0,0,0,14
7,0,0,0,0,0,23,8,8,0,0,0,0,3
37,0,0,2,1,1,49,4,11,0,0,0,37,12
10,0,2,3,1,0,2,9,3,0,0,0,0,2
52,8,0,2,1,1,49,14,10,0,0,0,0,17
14,0,1,3,1,0,64,4,12,0,0,0,0,4
10,0,2,1,0,0,39,8,8,0,0,0,0,1
28,0,0,2,1,0,64,10,13,0,0,0,0,0
15,0,2,1,1,0,29,9,8,0,0,0,0,17
35,0,2,5,0,0,39,2,4,0,0,0,0,18
3,0,2,1,0,0,25,7,8,0,0,0,0,5
26,0,0,2,1,0,35,7,9,0,0,0,0,10
24,4,0,0,0,0,39,0,9,0,0,0,0,7
23,3,0,2,1,1,39,8,8,0,0,0,39,9
21,0,2,1,1,0,47,8,8,0,0,0,0,3
5,0,2,1,1,0,23,10,9,0,0,0,0,18
38,1,0,2,1,0,34,1,9,2,0,0,0,8
31,3,2,5,1,0,39,0,11,0,0,0,0,10
24,4,5,1,1,0,39,8,11,1,41,0,0,25
12,0,2,3,0,0,39,2,12,4,5,0,0,9
31,0,1,3,0,0,49,8,8,0,0,0,0,13
10,5,2,3,0,0,43,8,12,0,0,0,0,14
36,0,0,2,1,1,44,4,9,0,0,0,0,15
28,2,0,2,1,1,49,4,8,0,0,0,0,11
19,0,3,5,0,0,39,4,8,0,0,0,0,1
41,2,4,5,0,0,39,8,9,0,0,0,0,26
6,0,0,2,1,0,39,7,8,0,0,0,0,7
8,0,2,3,0,0,49,4,12,0,0,0,0,6
42,0,4,5,0,0,39,4,8,0,0,0,0,11
4,0,2,1,1,0,39,2,5,0,20,0,0,8
33,0,0,2,1,1,59,3,8,1,0,0,0,33
25,1,0,2,1,0,64,9,8,0,0,0,0,2
36,3,4,3,0,0,19,8,6,0,0,0,0,5
19,0,0,2,1,0,39,0,9,0,0,0,0,22
18,0,0,2,1,1,49,5,13,0,0,0,0,5
39,0,2,3,1,0,54,7,8,0,0,0,0,14
22,0,0,2,1,1,39,10,8,0,0,5,0,13
28,2,1,5,0,1,39,4,15,0,0,0,0,15
33,0,0,2,1,1,39,4,12,0,0,0,0,4
20,0,1,5,0,0,49,2,9,0,0,0,0,8
28,0,1,3,1,0,43,1,9,0,0,0,0,5
